smiles,Vir_shifts,Ctype,score,DBindex
O=C(C=Cc1ccc(O)c(O)c1)OCC(=CCO)COC1OC(CO)C(O)C(O)C1O,"[167.9126   116.950264 144.73595  127.00571  121.788185 115.75381
 147.11353  147.02939  114.305504  62.38589  136.46585  134.56192
  59.30796   67.614136 103.15372   77.77522   62.110718  70.00019
  75.426834  72.908806]","['s' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 't' 's' 'd' 't' 't' 'd' 'd' 't' 'd'
 'd' 'd']",59.687169019207694,88942
O=C(C=Cc1ccc(O)c(O)c1)OC1C(O)C(CO)OC(OCC(=CCO)CO)C1O,"[168.21237  116.565605 145.14967  127.24482  121.87711  115.89485
 147.36528  147.1589   114.35766   76.24302   68.77044   77.91301
  61.624012 103.232346  67.60723  141.39114  132.09834   59.943443
  60.95589   70.807175]","['s' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 'd' 'd' 'd' 't' 'd' 't' 's' 'd' 't'
 't' 'd']",59.553811254891514,141756
CCC(C)=CC(=O)OC1C(O)C(CO)OC(OCCCc2ccc(O)c(O)c2)C1O,"[ 11.307172  30.50404  164.14398   20.51511  114.964226 168.20819
  76.48458   68.26488   78.00326   62.27431  104.37196   70.4216
  29.707691  31.614708 135.42902  121.01076  115.49461  144.9651
 145.89175  116.51763   69.854485]","['q' 't' 's' 'q' 'd' 's' 'd' 'd' 'd' 't' 'd' 't' 't' 't' 's' 'd' 'd' 's'
 's' 'd' 'd']",59.494557910257,107564
CC(COC1OC(COC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O)C1(O)COC(=O)C1,"[ 12.57715   40.777996  73.54748  104.16593   74.847244  64.110855
 167.98457  116.479256 145.83775  127.45711  122.147446 116.19221
 147.08731  146.91974  115.011505  70.715675  75.78553   73.47666
  78.00475   74.05659  176.82259   38.18005 ]","['q' 'd' 't' 'd' 'd' 't' 's' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 'd' 'd' 'd'
 's' 't' 's' 't']",59.46848464239612,10963
CC1=C2CCC(C)C2CC(C(C)(C)O)C(OC(=O)C=Cc2ccc(O)cc2)C1,"[ 21.574848 130.68654  143.4908    26.238605  26.406683  37.585495
  18.31818   45.111023  26.985195  51.52458   72.82112   28.268988
  28.03972   72.37504  166.93997  116.41785  142.43094  127.29802
 131.92415  116.04699  157.73685  116.2351   131.87665   40.588722]","['q' 's' 's' 't' 't' 'd' 'q' 'd' 't' 'd' 's' 'q' 'q' 'd' 's' 'd' 'd' 's'
 'd' 'd' 's' 'd' 'd' 't']",59.30729385400613,25835
O=C(CCc1ccc(O)c(O)c1)CC(CCc1ccc(O)cc1)OC1OCC(O)C(O)C1O,"[218.54182   45.78772   28.637625 132.51103  119.706696 115.45422
 145.35165  146.4398   116.62524   49.75014   75.04892   36.582806
  31.283106 134.39223  131.63646  116.04743  156.29465  115.98433
 131.65482  102.066536  65.58861   69.08916   75.75434   73.28267 ]","['s' 't' 't' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 'd'
 'd' 'd' 't' 'd' 'd' 'd']",59.30706590004911,126814
CC(=CCO)COC1OC(COC(=O)Cc2ccc(O)c(O)c2)C(O)C(O)C1O,"[ 16.524927 137.48828  128.3458    60.204716  70.67733  103.20747
  74.92582   63.461815 175.6255    39.753452 125.1976   121.335526
 115.66162  145.79787  145.834    117.36921   69.46598   75.737526
  72.40031 ]","['q' 's' 'd' 't' 't' 'd' 'd' 't' 's' 't' 's' 'd' 'd' 's' 's' 'd' 'd' 'd'
 'd']",59.265228471536986,155964
CC(=CCO)COC1OC(CO)C(O)C(O)C1OC(=O)Cc1ccc(O)c(O)c1,"[ 16.449825 137.54622  128.28577   60.158203  70.818375  99.929474
  77.72076   61.866863  69.49427   73.6506    73.45375  174.20065
  39.649998 125.2057   121.297905 115.61877  145.38731  145.92503
 117.5468  ]","['q' 's' 'd' 't' 't' 'd' 'd' 't' 'd' 'd' 'd' 's' 't' 's' 'd' 'd' 's' 's'
 'd']",59.20472068286928,100341
CC1=C(CC=CCCOC2OC(COC(=O)C=Cc3ccc(O)c(O)c3)C(O)C(O)C2O)C(=O)CC1,"[ 17.63465  169.24072  138.10382   23.349974 131.83656  128.70285
  30.12324   71.3811   102.9102    75.58164   63.80369  167.33754
 116.550804 144.2944   126.804695 121.42097  115.69652  146.78146
 146.06122  114.29811   70.050064  76.75443   73.321205 209.11581
  30.4877    28.146921]","['q' 's' 's' 't' 'd' 'd' 't' 't' 'd' 'd' 't' 's' 'd' 'd' 's' 'd' 'd' 's'
 's' 'd' 'd' 'd' 'd' 's' 't' 't']",59.16131645453208,118816
COc1cc(CCOC2OC(OC3OCC(O)(CO)C3O)C(O)C(O)C2O)ccc1O,"[ 56.265396 148.32588  114.98827  130.13795   35.648052  70.99853
 101.00861   97.83317  105.71109   73.23939   79.32749   64.168526
  75.39336   72.81347   73.37994   72.21763  124.830666 116.02143
 145.85616 ]","['q' 's' 'd' 's' 't' 't' 'd' 'd' 'd' 't' 's' 't' 'd' 'd' 'd' 'd' 'd' 'd'
 's']",58.95975150801803,172182
